pitch,mph,exit_velocty,pitcher,batter,dist,spin_rate,launch_angle,zone,date,count,inning,pitch_result,pitch_id
FF,95.8,110.3,"Darvish, Yu","Springer, George",438,2503,20,8,2017-11-01,3-2,Top 2,hit_into_play,7f4c6a58-6d83-42e6-8d38-55ed21e41644
SL,83.8,,"Darvish, Yu","Springer, George",,2522,,5,2017-11-01,3-1,Top 2,swinging_strike,d9b973b3-8dd2-4dbc-b5eb-9c315c59d29e
CU,71.8,,"Darvish, Yu","Springer, George",,2347,,14,2017-11-01,2-1,Top 2,ball,9bcb95d1-071e-475a-b160-b17726d2be21
FT,94.7,,"Darvish, Yu","Springer, George",,2310,,14,2017-11-01,2-0,Top 2,called_strike,00216954-875c-4258-9729-42c423b0c6bf
FT,93.4,,"Darvish, Yu","Springer, George",,2182,,13,2017-11-01,1-0,Top 2,ball,dbc5e647-6b8b-4e8d-8a04-b7f126612a69
SL,79.2,,"Darvish, Yu","Springer, George",,2612,,14,2017-11-01,0-0,Top 2,blocked_ball,b2eaad82-9f8d-4f68-a34c-40de68d70df1
SL,89.5,,"Kershaw, Clayton","Springer, George",,2790,,1,2017-11-01,0-2,Top 5,swinging_strike,66f297e6-04ac-4948-aff6-4ddcfd8f78c3
CH,84.4,97.5,"Wood, Alex","Springer, George",319,1877,17,14,2017-11-01,0-2,Top 9,hit_into_play,167b7895-7f5c-48d8-aba0-f57743eb9b8c
FT,91.5,,"Wood, Alex","Springer, George",,2043,,3,2017-11-01,0-1,Top 9,swinging_strike,5b16cf3a-9e39-42d0-a925-58f25d18d976
FF,94.1,78.6,"Kershaw, Clayton","Springer, George",168,2450,13,12,2017-11-01,0-2,Top 5,foul,86896372-b7da-403c-9a0a-582380a4575a
FT,91.0,64.6,"Wood, Alex","Springer, George",112,1959,18,8,2017-11-01,0-0,Top 9,foul,1382811d-799b-41ee-8252-72958453213a
FF,93.6,68.6,"Kershaw, Clayton","Springer, George",9,2444,-13,4,2017-11-01,0-1,Top 5,foul,4c8a72c7-fc34-46f8-a1f3-c547c69bf012
CU,72.7,,"Kershaw, Clayton","Springer, George",,2390,,5,2017-11-01,0-0,Top 5,called_strike,9aafbc62-1edc-4fe3-a332-4561cebd3244
SL,82.7,92.9,"Jansen, Kenley","Springer, George",344,2319,22,14,2017-11-01,1-2,Top 7,hit_into_play,001f73db-e734-4f58-a542-7b39f1836a6e
FC,92.6,78.4,"Jansen, Kenley","Springer, George",187,2514,68,2,2017-11-01,1-2,Top 7,foul,cae83966-6464-472d-873f-e4c69c2b92db
SL,83.9,99.2,"Darvish, Yu","Springer, George",218,2634,13,8,2017-11-01,1-1,Top 1,hit_into_play,9bee3215-dd50-41ab-b4a4-edff9e665b5e
FC,90.8,,"Jansen, Kenley","Springer, George",,2485,,5,2017-11-01,1-1,Top 7,swinging_strike,421e2013-4cf9-4153-a7a5-164f4d6f91d0
FC,92.6,66.7,"Jansen, Kenley","Springer, George",166,2689,59,9,2017-11-01,1-0,Top 7,foul,1a4294b8-c6ba-4f36-a973-c338d7eb35b6
SL,83.9,,"Darvish, Yu","Springer, George",,2688,,5,2017-11-01,1-0,Top 1,called_strike,fd3dc849-a0f5-476e-80c1-c208dad3596c
FC,91.5,,"Jansen, Kenley","Springer, George",,2508,,14,2017-11-01,0-0,Top 7,ball,cd9bfafe-bdb1-4568-9d66-d9585338bedd
FF,96.0,,"Darvish, Yu","Springer, George",,2589,,11,2017-11-01,0-0,Top 1,ball,373cfe98-b2f6-4ab5-9f04-740f175f11f6
FF,89.5,104.4,"Hill, Rich","Springer, George",389,2531,30,9,2017-10-31,1-0,Top 3,hit_into_play,202ac717-f193-471f-97bc-2d1b4085ab8a
FF,90.8,,"Hill, Rich","Springer, George",,2410,,1,2017-10-31,0-0,Top 3,ball,e8161c0a-a3ad-4826-b78a-6d726f09bf9e
SL,86.0,80.4,"Maeda, Kenta","Springer, George",44,2586,1,8,2017-10-31,1-1,Top 7,hit_into_play,8944a55a-8195-4326-81f2-1658aca22af9
FT,94.4,,"Maeda, Kenta","Springer, George",,2390,,13,2017-10-31,0-1,Top 7,ball,9efbe111-2ddb-4a35-9cce-f39e0153712b
SL,86.5,,"Maeda, Kenta","Springer, George",,2574,,9,2017-10-31,0-0,Top 7,called_strike,3b3431ee-6568-46e8-af6d-901e197bb49e
FF,90.6,,"Hill, Rich","Springer, George",,2537,,12,2017-10-31,1-2,Top 1,swinging_strike,787a3f2a-36e2-404d-b474-5896f77867c7
FF,90.7,70.2,"Hill, Rich","Springer, George",3,2620,-33,6,2017-10-31,1-1,Top 1,foul,b615f396-f505-48ab-b731-4d8f3477b2d8
FF,90.5,,"Hill, Rich","Springer, George",,2577,,6,2017-10-31,1-0,Top 1,foul_tip,17db6b2a-d9a2-43f9-859d-37571994d05a
FF,90.4,,"Hill, Rich","Springer, George",,2657,,12,2017-10-31,0-0,Top 1,ball,b1b77bff-e554-45e0-ae08-1e647b4ffa62
SL,88.0,,"Kershaw, Clayton","Springer, George",,2613,,13,2017-10-29,3-2,Bot 5,ball,27df5d03-0f01-495b-8528-b8a277c30c2b
FF,93.2,100.7,"Kershaw, Clayton","Springer, George",222,2345,14,4,2017-10-29,3-2,Bot 5,foul,1dd2e806-8a45-4433-a7fa-64b637537161
SL,89.1,85.4,"Kershaw, Clayton","Springer, George",259,2578,40,9,2017-10-29,3-2,Bot 5,foul,ef5299e9-c8af-4c49-bf89-0611c311e6f6
FF,92.7,,"Kershaw, Clayton","Springer, George",,2436,,1,2017-10-29,3-1,Bot 5,called_strike,bb869a8d-d434-4ff1-8551-6d29f6ce86fb
SL,87.5,,"Kershaw, Clayton","Springer, George",,2624,,14,2017-10-29,2-1,Bot 5,ball,b56fcfc9-fda8-4095-a76e-abfaf00209f3
FF,93.7,,"Kershaw, Clayton","Springer, George",,2299,,6,2017-10-29,2-0,Bot 5,foul,efbcdf37-272a-478e-89e2-5de9fcfc4994
SL,88.3,,"Kershaw, Clayton","Springer, George",,2576,,14,2017-10-29,1-0,Bot 5,ball,3fcf38cd-6075-4da4-a2a5-600640d2ebc8
CU,73.0,,"Kershaw, Clayton","Springer, George",,2500,,13,2017-10-29,0-0,Bot 5,ball,88abfaeb-b11e-4c57-836d-c0ad52b7a40c
FF,92.9,,"Kershaw, Clayton","Springer, George",,2447,,13,2017-10-29,3-1,Bot 4,ball,c917c069-bd81-4ab8-9982-c8992634382a
FF,91.9,,"Kershaw, Clayton","Springer, George",,2386,,11,2017-10-29,2-1,Bot 4,ball,a70d4a5f-b518-483d-b436-047fd9c84844
FF,92.2,,"Kershaw, Clayton","Springer, George",,2359,,5,2017-10-29,2-0,Bot 4,swinging_strike,531dfa1b-e76e-4c2e-9631-56efc1c8774c
SL,87.0,,"Kershaw, Clayton","Springer, George",,2592,,14,2017-10-29,1-0,Bot 4,ball,3325076a-0031-47a7-8c5c-5e33dbad7570
SL,88.3,,"Kershaw, Clayton","Springer, George",,2521,,14,2017-10-29,0-0,Bot 4,ball,a2ef455d-586f-4bda-87f9-bda640a049a6
FC,92.3,,"Jansen, Kenley","Springer, George",,2544,,12,2017-10-29,3-1,Bot 10,ball,07469b33-f017-4f84-9cf8-f58a0b6052ec
FC,90.6,,"Jansen, Kenley","Springer, George",,2508,,3,2017-10-29,3-0,Bot 10,called_strike,dd90c24e-0698-4a31-9f78-ff99e786af47
FC,93.3,,"Jansen, Kenley","Springer, George",,2510,,14,2017-10-29,2-0,Bot 10,ball,cb53513b-9308-4357-b53b-ddcda33e3597
FC,91.1,,"Jansen, Kenley","Springer, George",,2549,,11,2017-10-29,1-0,Bot 10,ball,05e8ada2-cfa1-4e55-9c3b-09f2d70b08e3
FC,93.3,,"Jansen, Kenley","Springer, George",,2601,,12,2017-10-29,0-0,Bot 10,ball,fcb52a6b-fee2-4631-bac0-608e3bf66251
SL,90.8,95.1,"Stripling, Ross","Springer, George",193,2246,11,9,2017-10-29,3-2,Bot 8,hit_into_play,7d515988-1006-4eaf-8b28-063ec49bf667
FF,94.4,,"Stripling, Ross","Springer, George",,2272,,14,2017-10-29,2-2,Bot 8,ball,66812911-3e31-40d8-a6de-5e322c1fa7a1
SL,90.7,,"Stripling, Ross","Springer, George",,2315,,14,2017-10-29,1-2,Bot 8,ball,3336e077-1679-441a-9ac9-729daf61d37c
FF,93.0,,"Stripling, Ross","Springer, George",,2025,,1,2017-10-29,1-1,Bot 8,called_strike,43088a53-6cbc-416b-b0b5-5d611e80ecb3
SL,89.6,61.2,"Kershaw, Clayton","Springer, George",2,2503,-51,5,2017-10-29,0-1,Bot 1,hit_into_play,4f6bab5b-add5-4e9c-9ba0-93e23de456fe
SL,90.0,,"Stripling, Ross","Springer, George",,2312,,14,2017-10-29,0-1,Bot 8,ball,a011d0a6-15c6-4571-803f-dd61ddde81a7
SL,89.9,,"Stripling, Ross","Springer, George",,2193,,9,2017-10-29,0-0,Bot 8,called_strike,26cfa2a0-2530-47fd-a46b-87d106e4dbaf
FF,92.7,,"Kershaw, Clayton","Springer, George",,2268,,9,2017-10-29,0-0,Bot 1,called_strike,94a51015-2973-4ed3-8c0c-0371785f3b3b
FF,95.2,111.9,"Morrow, Brandon","Springer, George",448,2250,27,4,2017-10-29,0-0,Bot 7,hit_into_play,f3902ec0-1061-4d0e-882d-ccd6a4cad10e
KC,81.5,100.1,"Wood, Alex","Springer, George",394,2133,28,8,2017-10-28,3-1,Bot 6,hit_into_play,9edf874a-ca16-4811-8bd4-65833fc46baf
FT,90.0,,"Wood, Alex","Springer, George",,1906,,8,2017-10-28,3-0,Bot 6,called_strike,3e513bd5-7591-4c3e-a8a5-cc071662392d
CH,82.8,,"Wood, Alex","Springer, George",,1650,,13,2017-10-28,2-0,Bot 6,ball,f675aa4c-06e1-4ff5-94c8-679247dc7f86
FT,90.6,,"Wood, Alex","Springer, George",,2046,,1,2017-10-28,1-0,Bot 6,ball,5be53c61-8f65-4f88-b9cc-20e78f4c89ff
CH,83.3,,"Wood, Alex","Springer, George",,1713,,13,2017-10-28,0-0,Bot 6,ball,dcb1ba65-5dbd-49b0-8f71-ff352f0e7ee8
CH,81.8,109.8,"Wood, Alex","Springer, George",94,1494,5,8,2017-10-28,1-1,Bot 3,hit_into_play,46a2f466-d678-4aa9-aaca-307712dcaec6
FT,90.7,75.9,"Wood, Alex","Springer, George",215,1745,43,6,2017-10-28,1-0,Bot 3,foul,bdc6f2f4-ba26-4ba9-bfdf-646bbd4b908c
CH,84.8,,"Wood, Alex","Springer, George",,1711,,14,2017-10-28,0-0,Bot 3,ball,1c4cfcfe-8edc-49fd-a93b-e859f00eac24
FC,92.6,,"Jansen, Kenley","Springer, George",,2485,,11,2017-10-28,2-2,Bot 9,swinging_strike,eb086584-ec35-4b59-ba03-76e8865ea4ca
FC,93.9,,"Jansen, Kenley","Springer, George",,2465,,14,2017-10-28,1-2,Bot 9,ball,9b84215e-a098-43ef-bfad-8c83e1a98204
CH,83.9,95.8,"Wood, Alex","Springer, George",366,1463,27,9,2017-10-28,2-2,Bot 1,hit_into_play,c6e56200-f895-478a-93ad-cc65008bb714
CH,84.7,,"Wood, Alex","Springer, George",,1611,,9,2017-10-28,2-1,Bot 1,foul,be50fd00-9935-4044-94b5-c4323e7fc9fd
FC,93.8,,"Jansen, Kenley","Springer, George",,2552,,12,2017-10-28,0-2,Bot 9,ball,503befdd-823c-4a2f-b41c-81cc1fb1d16e
KC,84.3,,"Wood, Alex","Springer, George",,2307,,13,2017-10-28,1-1,Bot 1,ball,a150d929-22b5-450c-810f-850e4796a77d
SI,93.6,,"Jansen, Kenley","Springer, George",,2257,,13,2017-10-28,0-1,Bot 9,foul,3c19dd18-cda5-4ea1-acf3-515e26cd3e02
FC,93.0,,"Jansen, Kenley","Springer, George",,2486,,7,2017-10-28,0-0,Bot 9,called_strike,98e4d9a0-7ab8-45c3-be7b-62c2f08b9367
FT,90.4,,"Wood, Alex","Springer, George",,2130,,12,2017-10-28,0-1,Bot 1,ball,c2934354-cdd5-4124-9c92-39dd9b36b08b
FT,91.6,,"Wood, Alex","Springer, George",,1894,,14,2017-10-28,0-0,Bot 1,swinging_strike,c989c70b-15db-43e7-a6d3-344d5c1ad0eb
FT,92.7,104.9,"Darvish, Yu","Springer, George",158,2136,9,5,2017-10-27,2-1,Bot 2,hit_into_play,f91e0213-18be-4cc4-9979-a78f07327005
FT,92.6,,"Darvish, Yu","Springer, George",,2165,,7,2017-10-27,2-0,Bot 2,called_strike,6fa79da3-7509-4a62-a6cc-585ba1fa3413
SL,82.2,,"Darvish, Yu","Springer, George",,2647,,11,2017-10-27,1-0,Bot 2,ball,67670ee1-5278-4509-b30d-2bcd815b16b5
SL,82.9,,"Darvish, Yu","Springer, George",,2510,,11,2017-10-27,0-0,Bot 2,ball,27afd790-1873-445e-a8f0-c62eb6e9ecdc
FF,92.7,,"Maeda, Kenta","Springer, George",,2444,,5,2017-10-27,0-2,Bot 4,swinging_strike,4127174a-425d-4afc-9e40-22a2bc433dcc
SL,84.8,56.1,"Maeda, Kenta","Springer, George",2,2502,-49,9,2017-10-27,0-2,Bot 4,foul,cfc1fcb9-6e27-4431-b089-51e6fa0b619a
FT,93.0,47.7,"Maeda, Kenta","Springer, George",1,2267,-47,8,2017-10-27,0-1,Bot 4,foul,64903cdd-4e11-4815-a1cc-3c03639afd22
SL,85.8,,"Maeda, Kenta","Springer, George",,2435,,4,2017-10-27,0-0,Bot 4,called_strike,c56549ed-55db-4c54-ac17-937f12442d30
FT,94.4,111.3,"Darvish, Yu","Springer, George",300,2105,11,8,2017-10-27,3-1,Bot 1,hit_into_play,33092b4a-13f3-4a27-9e4c-9109e67fe35a
FF,92.7,108.2,"Stripling, Ross","Springer, George",407,2249,32,5,2017-10-27,2-1,Bot 7,hit_into_play,7d27e9c0-dc72-4eca-8812-5cb7110022d4
FT,93.9,,"Darvish, Yu","Springer, George",,2275,,14,2017-10-27,2-1,Bot 1,ball,03fea48a-93d9-4bf8-a2cc-8a9697813bba
FF,93.0,92.3,"Stripling, Ross","Springer, George",276,2313,51,6,2017-10-27,2-0,Bot 7,foul,db431ded-d3fc-4668-a2f9-4b77f76e2926
FT,93.9,,"Darvish, Yu","Springer, George",,2233,,13,2017-10-27,1-1,Bot 1,ball,04c458a3-d317-4bcf-9c27-84e5af165c95
FF,98.0,88.5,"Morrow, Brandon","Springer, George",4,2356,-25,8,2017-10-27,1-0,Bot 6,hit_into_play,9d3bdebb-1401-436e-a41b-9d506a6dd934
SL,90.6,,"Stripling, Ross","Springer, George",,2282,,14,2017-10-27,1-0,Bot 7,ball,c8080c05-9f8e-4bdf-a099-59cdcb09976e
FT,92.4,,"Darvish, Yu","Springer, George",,2085,,13,2017-10-27,0-1,Bot 1,ball,03854c7f-dc52-47df-aee1-f49e01078d82
SL,89.9,,"Stripling, Ross","Springer, George",,2250,,14,2017-10-27,0-0,Bot 7,ball,3e477653-bd99-4d79-9c26-53ff1e352a3c
FT,92.7,,"Darvish, Yu","Springer, George",,2257,,7,2017-10-27,0-0,Bot 1,called_strike,a95aa23c-0a1d-4e5a-a1a8-3aa9a8e553ef
FF,97.7,,"Morrow, Brandon","Springer, George",,2263,,14,2017-10-27,0-0,Bot 6,ball,9f245f91-dd94-4636-bed0-cdda0b8da996
CU,74.5,105.7,"Hill, Rich","Springer, George",235,2905,14,6,2017-10-25,0-0,Top 3,hit_into_play,78ceb124-7710-4c41-9fcd-69af4cc49a1a
FC,93.1,102.8,"Jansen, Kenley","Springer, George",68,2618,2,8,2017-10-25,3-2,Top 9,hit_into_play,96b09300-50f9-491e-849e-d02baebdb523
FC,93.4,,"Jansen, Kenley","Springer, George",,2804,,14,2017-10-25,2-2,Top 9,ball,159d2799-f018-4fd9-a448-2b811a61db4f
SL,83.3,,"Jansen, Kenley","Springer, George",,,,14,2017-10-25,1-2,Top 9,ball,598e9c5b-f24b-429a-9eb0-a3382272ef9a
FC,94.3,,"Jansen, Kenley","Springer, George",,2642,,14,2017-10-25,1-2,Top 9,foul,51a1ac24-dcb4-47fe-ac48-ae44ddddf544
FC,93.9,,"Jansen, Kenley","Springer, George",,2666,,8,2017-10-25,1-1,Top 9,swinging_strike,6d3a7cb6-2ea3-4e4b-91a9-9c9dde72259c
FC,93.9,,"Jansen, Kenley","Springer, George",,2703,,14,2017-10-25,0-1,Top 9,ball,02d108ca-299f-4cef-9873-afc28f51acca
FC,93.7,,"Jansen, Kenley","Springer, George",,2579,,9,2017-10-25,0-0,Top 9,swinging_strike,817a6455-d41a-4045-88af-2ea6f34a219f
FF,98.0,110.6,"Morrow, Brandon","Springer, George",39,2324,-1,8,2017-10-25,1-0,Top 7,hit_into_play,9113ef27-d4d2-485a-85db-859ccd2a73ba
SL,88.9,,"Morrow, Brandon","Springer, George",,2378,,13,2017-10-25,0-0,Top 7,ball,4087f76e-ec01-4bd5-87ee-b6cb2b82b694
SL,88.7,101.5,"McCarthy, Brandon","Springer, George",389,2330,23,8,2017-10-25,2-1,Top 11,hit_into_play,dc418452-fb91-4df0-9b31-714080d9e45a
SL,86.6,86.2,"McCarthy, Brandon","Springer, George",191,2347,61,8,2017-10-25,2-0,Top 11,foul,86b73587-ea3a-47aa-8512-2e7025e895a0
FF,87.9,,"Hill, Rich","Springer, George",,2412,,12,2017-10-25,3-2,Top 1,ball,e310d15f-a1e1-4060-b1e0-bf28a6a9164f
FF,94.4,,"McCarthy, Brandon","Springer, George",,2248,,13,2017-10-25,1-0,Top 11,ball,d86d893a-2d44-45dd-9b9b-c21d4e37870e
CU,73.5,54.0,"Hill, Rich","Springer, George",4,2768,-42,12,2017-10-25,3-2,Top 1,foul,cb5b9c91-cb0a-4837-92e8-184ec2d88c88
CU,76.0,,"Hill, Rich","Springer, George",,3123,,13,2017-10-25,2-2,Top 1,ball,d7018525-f0e8-4de9-be90-4416c46e0296
SI,93.0,,"McCarthy, Brandon","Springer, George",,2193,,14,2017-10-25,0-0,Top 11,ball,b49c2ca7-e5d5-4227-b99a-87dcbdcb0471
FF,90.0,,"Hill, Rich","Springer, George",,2533,,8,2017-10-25,2-1,Top 1,called_strike,2547e788-9863-43ea-b4bc-dff1a932447a
FF,89.4,,"Hill, Rich","Springer, George",,2591,,6,2017-10-25,2-0,Top 1,foul,6e205f4b-9fb2-4aad-8a27-aee32d11e462
FF,95.3,96.8,"Maeda, Kenta","Springer, George",371,2323,24,5,2017-10-25,1-1,Top 5,hit_into_play,9186eccd-873d-4acf-87ab-6cb359b05f7c
FF,89.0,,"Hill, Rich","Springer, George",,2437,,12,2017-10-25,1-0,Top 1,ball,bdf186a3-0646-4cb0-8dff-1569b3531874
SL,87.5,,"Maeda, Kenta","Springer, George",,2473,,14,2017-10-25,0-1,Top 5,ball,6a5e0a36-50c8-46b6-a994-4f4ee0926d21
SL,86.8,,"Maeda, Kenta","Springer, George",,2477,,14,2017-10-25,0-0,Top 5,swinging_strike,42e957fb-edd7-4306-bc58-0fcf34b53014
FF,89.2,,"Hill, Rich","Springer, George",,2558,,12,2017-10-25,0-0,Top 1,ball,d8c048bd-2aa6-41db-a417-001c28415da3
SL,90.0,,"Kershaw, Clayton","Springer, George",,2639,,14,2017-10-24,3-2,Top 6,swinging_strike,45b81f1e-80af-4eac-bca8-507f5ae9e7eb
CU,74.7,,"Kershaw, Clayton","Springer, George",,2513,,13,2017-10-24,2-2,Top 6,ball,537dffbb-36d1-4106-8ab5-ae1633a39cb6
FF,89.6,,"Kershaw, Clayton","Springer, George",,2587,,6,2017-10-24,2-2,Top 6,foul,fa3c54b2-64e4-41d4-9882-d711843b0b69
FF,93.6,,"Kershaw, Clayton","Springer, George",,2404,,8,2017-10-24,2-1,Top 6,called_strike,6855557f-e565-48d0-a1b3-23967b2d8cb4
SL,88.3,,"Kershaw, Clayton","Springer, George",,2630,,14,2017-10-24,2-0,Top 6,swinging_strike,cdb96a6d-ce9b-4fd3-adc8-7a85d549b2e3
SL,88.2,,"Kershaw, Clayton","Springer, George",,2613,,14,2017-10-24,1-0,Top 6,ball,679e0563-a17c-4bc8-8d1b-a16850ceaa24
FF,90.3,,"Kershaw, Clayton","Springer, George",,2604,,14,2017-10-24,0-0,Top 6,ball,aeba2932-3160-491a-83ab-dcba3b23f10d
SL,90.2,,"Kershaw, Clayton","Springer, George",,2543,,14,2017-10-24,0-2,Top 3,swinging_strike,9c012f89-add5-44ba-851c-fca3b1413c46
FF,93.1,,"Kershaw, Clayton","Springer, George",,2358,,4,2017-10-24,0-1,Top 3,called_strike,e0be625a-7b02-47cc-8b7c-8084203fe0b6
FF,90.5,,"Kershaw, Clayton","Springer, George",,2614,,13,2017-10-24,0-0,Top 3,swinging_strike,94efdb22-4bc8-45a4-b648-be15ec9ce84c
FC,92.7,,"Jansen, Kenley","Springer, George",,2422,,3,2017-10-24,2-2,Top 9,called_strike,514b2578-b6cf-4036-a567-b69d9f2ae1f7
SL,89.8,,"Kershaw, Clayton","Springer, George",,2703,,13,2017-10-24,0-2,Top 1,swinging_strike,28336cf2-57bd-4b70-ac89-076bc8cac046
FC,93.0,,"Jansen, Kenley","Springer, George",,2499,,12,2017-10-24,1-2,Top 9,ball,513f4e3a-5bbb-41a2-8782-50fce7bca5e3
FC,95.7,,"Jansen, Kenley","Springer, George",,2635,,14,2017-10-24,0-2,Top 9,ball,2068e4ed-a43a-4c9f-be85-5df96454eac1
FF,91.4,,"Kershaw, Clayton","Springer, George",,2574,,14,2017-10-24,0-2,Top 1,foul,50f47442-cf85-48d8-9911-c0e774d01175
FC,94.1,,"Jansen, Kenley","Springer, George",,2676,,9,2017-10-24,0-1,Top 9,swinging_strike,f65e3031-4cf4-47fb-9959-6d0936288f33
CU,73.5,,"Kershaw, Clayton","Springer, George",,2452,,8,2017-10-24,0-1,Top 1,called_strike,235a8735-7830-4c81-aa94-fd2112d4ba92
FC,93.0,,"Jansen, Kenley","Springer, George",,2696,,7,2017-10-24,0-0,Top 9,called_strike,91d23588-03d2-47e0-8c4f-ddd680d7a044
FF,93.5,,"Kershaw, Clayton","Springer, George",,2356,,4,2017-10-24,0-0,Top 1,foul,c7e1fd5b-7ca5-471a-9201-85084a17c26d
SI,90.3,111.3,"Sabathia, CC","Springer, George",25,2009,-3,8,2017-10-21,2-0,Bot 3,hit_into_play,42a70703-af73-43c7-8e33-074d8921083c
FC,88.5,,"Sabathia, CC","Springer, George",,2294,,12,2017-10-21,1-0,Bot 3,ball,945775e5-bf61-4aeb-9d76-48e764b9b434
FC,89.5,,"Sabathia, CC","Springer, George",,2219,,12,2017-10-21,0-0,Bot 3,ball,93013f25-273c-4a96-9dfc-e0a1c83cf38f
FF,91.4,80.0,"Warren, Adam","Springer, George",,2120,69,2,2017-10-21,0-1,Bot 6,hit_into_play,df514da3-5ab5-4308-baf1-0a8b55fc855d
FF,91.2,77.5,"Warren, Adam","Springer, George",185,2283,64,7,2017-10-21,0-0,Bot 6,foul,676c0e8f-e22f-4b6a-8f9c-92b6e8bfd7ea
CH,84.0,86.0,"Sabathia, CC","Springer, George",182,1885,12,4,2017-10-21,2-1,Bot 1,hit_into_play,9cec1240-961b-4950-863e-d237bf8c8139
FC,89.8,,"Sabathia, CC","Springer, George",,2140,,11,2017-10-21,1-1,Bot 1,ball,b85ae269-0eaf-42d1-b0f8-31e0dc0a2ce8
SL,78.0,,"Sabathia, CC","Springer, George",,2205,,12,2017-10-21,0-1,Bot 1,ball,b98a1b46-c521-4161-aedb-73d625b3f063
CH,90.0,97.7,"Kahnle, Tommy","Springer, George",19,1259,-5,9,2017-10-21,0-0,Bot 4,hit_into_play,6abefe42-3265-42d2-84c3-fce20a013ff0
SI,90.1,,"Sabathia, CC","Springer, George",,1978,,12,2017-10-21,0-0,Bot 1,called_strike,16c7bf9d-c608-4da3-a0f4-10d18a32d4b2
FF,98.3,,"Severino, Luis","Springer, George",,2405,,12,2017-10-20,3-0,Bot 5,ball,3e7aed0a-82af-4be3-b970-8fcbf29cc466
FF,99.6,,"Severino, Luis","Springer, George",,2384,,14,2017-10-20,2-0,Bot 5,ball,dc936e7b-5331-4723-87ee-b19b903e3ada
SL,89.4,,"Severino, Luis","Springer, George",,,,9,2017-10-20,1-0,Bot 5,ball,f7190629-b5f9-466d-ae68-e917bbdd2c63
FF,96.3,,"Severino, Luis","Springer, George",,2384,,13,2017-10-20,0-0,Bot 5,ball,5064488b-6d13-4a39-8c71-176719a89ce4
FF,100.8,,"Severino, Luis","Springer, George",,2277,,12,2017-10-20,2-2,Bot 3,swinging_strike,b0215fcd-4d86-451a-a3b2-825177922d31
FF,99.5,82.8,"Severino, Luis","Springer, George",227,2339,26,3,2017-10-20,2-1,Bot 3,foul,03b3bde5-0cdb-4647-8925-c812c99607a3
FF,99.0,,"Severino, Luis","Springer, George",,2474,,2,2017-10-20,2-0,Bot 3,foul,2c1927f7-7c61-4dd1-add7-b8edeed04077
SL,88.8,,"Severino, Luis","Springer, George",,3109,,12,2017-10-20,1-0,Bot 3,ball,49220b74-747d-468f-adac-ad10eebb36c8
FF,99.5,,"Severino, Luis","Springer, George",,2396,,14,2017-10-20,0-0,Bot 3,ball,40264b44-51db-4cf0-a6d1-85741aca41d9
FF,96.6,,"Green, Chad","Springer, George",,2469,,3,2017-10-20,3-2,Bot 7,swinging_strike,41ef276f-4dbc-4c8b-af44-f58d8b168db0
FF,96.2,,"Green, Chad","Springer, George",,2365,,2,2017-10-20,3-1,Bot 7,swinging_strike,e94e05fa-10b2-4f2c-af70-c4a86ae3420f
SL,86.6,,"Green, Chad","Springer, George",,2209,,11,2017-10-20,2-1,Bot 7,ball,80f9e222-bc3a-4e4e-a722-bccbd8a73a56
FF,94.7,,"Green, Chad","Springer, George",,2362,,12,2017-10-20,1-1,Bot 7,ball,67ac1176-27e4-4f59-818d-a562afbc4157
FF,95.3,,"Green, Chad","Springer, George",,2496,,14,2017-10-20,1-0,Bot 7,foul,5ce969c3-bc51-42f1-af51-ea1e682662a6
FF,95.7,,"Green, Chad","Springer, George",,2561,,12,2017-10-20,0-0,Bot 7,ball,293c7ffd-bbdb-4c14-be4d-37f02b6bef57
KC,84.2,63.0,"Betances, Dellin","Springer, George",2,2667,-35,14,2017-10-20,1-1,Bot 8,hit_into_play,ee974942-adce-4f94-ae96-4ceb37fe80e9
FF,97.6,,"Betances, Dellin","Springer, George",,2381,,1,2017-10-20,0-1,Bot 8,ball,28c8034f-d512-466d-bb3b-0cdb59808ca5
FF,98.8,80.8,"Betances, Dellin","Springer, George",160,2398,14,2,2017-10-20,0-0,Bot 8,foul,3be7efff-86df-4f28-a9d0-301c11f8f808
FF,98.3,84.8,"Severino, Luis","Springer, George",4,2447,-43,3,2017-10-20,2-1,Bot 1,hit_into_play,8f4b33e0-72a7-4e52-9578-0c98b1f3dd33
FF,98.1,,"Severino, Luis","Springer, George",,2437,,2,2017-10-20,2-0,Bot 1,swinging_strike,5abb09c3-c9b8-49db-98ef-1cc951456947
SL,87.5,,"Severino, Luis","Springer, George",,2937,,2,2017-10-20,1-0,Bot 1,ball,0b00aecd-ec46-424a-81ae-ad3f8cf977c2
FF,97.5,,"Severino, Luis","Springer, George",,2294,,1,2017-10-20,0-0,Bot 1,ball,09affbe8-6866-46f8-9164-63dafdd7b60e
FF,94.5,,"Tanaka, Masahiro","Springer, George",,2260,,14,2017-10-18,1-2,Top 5,called_strike,f85a0d25-f3c0-4ca6-bafe-0a28351cc1cc
SL,85.6,,"Tanaka, Masahiro","Springer, George",,2373,,6,2017-10-18,1-1,Top 5,foul,f04fe346-1e56-470a-a11b-35cd7db51c46
SL,86.0,,"Tanaka, Masahiro","Springer, George",,2333,,14,2017-10-18,0-1,Top 5,blocked_ball,e438633a-fecc-477f-9266-1cfcde1a7f0c
